time,open,high,low,close,VWAP,MA #1,MA #2,MA #3,BB Basis,BB #1 Upper,BB #1 Lower,BB #2 Upper,BB #2 Lower,Volume,Volume MA,Amplitude
2022-02-04T12:07:00-06:00,14700,14707.5,14691,14692.25,14580.422142339656,14691.458529700301,14680.877662032315,14624.933223303884,14657.5375,14710.84164500737,14604.233354992632,14737.493717511054,14577.581282488947,1427,1074.65,14.79136196898131
2022-02-04T12:08:00-06:00,14692.25,14695,14688.25,14693.75,14580.549643853557,14692.222353133535,14683.21808711735,14627.189511064413,14661.4,14713.429895253916,14609.370104746084,14739.444842880874,14583.355157119126,635,1074.6,14.27256442259542
2022-02-04T12:09:00-06:00,14692.5,14704.25,14692.25,14700.75,14580.68559769054,14695.064902089023,14686.405707641468,14629.601330373776,14664.5875,14718.03917794453,14611.135822055468,14744.765016916796,14584.409983083204,640,1048.75,14.125947363073134
2022-02-04T12:10:00-06:00,14700,14714.75,14695.75,14711.75,14580.900993687512,14700.626601392682,14691.013760797565,14632.294729377914,14668.6,14723.541650866342,14613.658349133659,14751.012476299513,14586.187523700488,950,1028.75,14.440402371907126
2022-02-04T12:11:00-06:00,14711.25,14711.75,14701.5,14702.75,14581.064848580681,14701.334400928454,14693.147622470735,14634.60473825077,14672.1375,14726.30263523419,14617.972364765812,14753.385202851285,14590.889797148717,737,1037.5,14.170053831784086
2022-02-04T12:12:00-06:00,14702.75,14708,14700.25,14705,14581.168787958311,14702.556267285636,14695.30260020333,14636.912779619597,14675.6,14728.864293855442,14622.335706144559,14755.496440783165,14595.703559216836,472,1023.7,13.755856810378662
2022-02-04T12:13:00-06:00,14705.25,14708.75,14693.25,14694.25,14581.453572395345,14699.787511523757,14695.111218348178,14638.79268848453,14678.4375,14729.271758871824,14627.603241128176,14754.688888307737,14602.186111692263,1360,1036.8,13.868382177451005
2022-02-04T12:14:00-06:00,14694.75,14703,14691,14701.75,14581.599616101788,14700.441674349171,14696.3182695576,14640.856862632578,14681.9375,14728.925497138074,14634.949502861926,14752.419495707112,14611.455504292888,701,1048.2,13.747841391809006
2022-02-04T12:15:00-06:00,14702.5,14707.5,14694.25,14702,14581.756258822541,14700.96111623278,14697.351311456217,14642.861555661018,14685.2875,14727.747562116569,14642.827437883432,14748.977593174852,14621.597406825149,737,1045.95,13.715722592337457
2022-02-04T12:16:00-06:00,14702.25,14703.25,14692.5,14694,14581.866502334546,14698.640744155187,14696.741982100542,14644.538225967215,14688.1,14724.629919243585,14651.570080756415,14742.894878865376,14633.305121134625,541,1045.4,13.524385650896331
2022-02-04T12:17:00-06:00,14694.5,14694.5,14682.25,14687.75,14582.061579948358,14695.010496103458,14695.10707626408,14645.9550054437,14689.6875,14723.128446084105,14656.246553915895,14739.848919126158,14639.526080873842,1036,1040.15,13.442167221806246
2022-02-04T12:18:00-06:00,14687.75,14691.75,14682.5,14689.25,14582.187151155935,14693.090330735638,14694.042153306975,14647.37451346194,14691.95,14718.034286457285,14665.865713542717,14731.076429685929,14652.823570314073,671,1036.65,13.171704820399391
2022-02-04T12:19:00-06:00,14689.75,14695.75,14687,14694.5,14582.29372802684,14693.560220490426,14694.125398160251,14648.919611381221,14694.075,14712.63375803739,14675.516241962612,14721.913137056083,14666.236862943919,547,1026.2,12.886433541663946
2022-02-04T12:20:00-06:00,14694.75,14705.75,14689,14701.25,14582.456207850724,14696.12348032695,14695.420780312932,14650.635361827739,14695.2125,14712.562770171218,14677.862229828781,14721.237905256829,14669.18709474317,791,926.7,13.13569589381466
2022-02-04T12:21:00-06:00,14701.5,14708,14699,14707.5,14582.560882450978,14699.915653551301,14697.617002074217,14652.499776194043,14696.7625,14712.623990313394,14680.901009686608,14720.55473547009,14672.970264529911,485,886.7,12.868876803891133
2022-02-04T12:22:00-06:00,14707,14710.75,14698.5,14708.25,14582.687715120968,14702.6937690342,14699.55027442436,14654.327652384402,14698.3625,14711.911923422458,14684.81307657754,14718.686635133687,14678.038364866312,584,879.25,12.828949268156222
2022-02-04T12:23:00-06:00,14708.5,14723.25,14708.5,14720,14583.029646476985,14708.462512689466,14703.268406347204,14656.480844109503,14700.0375,14715.46010921319,14684.61489078681,14723.171413819786,14676.903586180215,1446,879.55,12.952888025049369
2022-02-04T12:24:00-06:00,14719.5,14731.75,14717.25,14729,14583.305480137205,14715.308341792977,14707.94687792044,14658.858521351814,14701.575,14721.462873187302,14681.6871268127,14731.406809780952,14671.74319021905,1100,829.35,13.052701700852635
2022-02-04T12:25:00-06:00,14728.75,14728.75,14719.5,14722.75,14583.48643621323,14717.788894528652,14710.638354662178,14660.953323930444,14702.925,14724.630471661707,14681.219528338292,14735.483207492562,14670.366792507437,736,814.4,12.807366107249239
2022-02-04T12:26:00-06:00,14723.25,14723.5,14710,14714.25,14583.709680197537,14716.609263019101,14711.295017450873,14662.700755932725,14703.6375,14725.841933676416,14681.433066323585,14736.944150514624,14670.330849485377,964,828,12.852052164846063
2022-02-04T12:27:00-06:00,14715,14715.5,14705.25,14707.25,14583.848363567025,14713.4895086794,14710.559559732532,14664.16138688575,14704.3875,14726.008366653366,14682.766633346635,14736.81879998005,14671.956200019951,632,788.25,12.684177831630187
2022-02-04T12:28:00-06:00,14707,14709.5,14694.25,14702,14584.062667894164,14709.659672452934,14709.003276144798,14665.40199715179,14704.8,14725.901895651363,14683.698104348636,14736.452843477045,14673.147156522953,1041,808.55,12.849714745718561
2022-02-04T12:29:00-06:00,14702,14708.25,14700.5,14707.5,14584.1823113717,14708.939781635288,14708.72995320938,14666.782259540256,14705.1375,14726.185347275059,14684.089652724942,14736.709270912588,14673.565729087413,566,804.85,12.520700891156073
2022-02-04T12:30:00-06:00,14707.75,14717,14699.75,14707.5,14584.384636219616,14708.459854423525,14708.50632535313,14668.117267424183,14704.925,14725.786507618215,14684.063492381783,14736.217261427324,14673.632738572674,939,804.3,12.825816962694391
2022-02-04T12:31:00-06:00,14707.75,14710,14700.25,14702.5,14584.50271109351,14706.47323628235,14707.414266198015,14669.244570131586,14704.9125,14725.77950445657,14684.04549554343,14736.213006684853,14673.611993315148,567,795.8,12.627377158649592
2022-02-04T12:32:00-06:00,14702,14708,14698.25,14706.5,14584.624290806916,14706.482157521566,14707.248035980194,14670.46605963547,14704.9875,14725.86600270323,14684.10899729677,14736.305254054843,14673.669745945155,585,801.45,12.441739922607683
2022-02-04T12:33:00-06:00,14706.25,14719.25,14705.25,14716.5,14584.79271314323,14709.821438347712,14708.930211256522,14671.975369155618,14706.1,14726.942504647153,14685.257495352847,14737.363756970732,14674.83624302927,753,771.1,12.542272830826542
2022-02-04T12:34:00-06:00,14716.5,14724.75,14712,14722.5,14584.933853499328,14714.047625565141,14711.397445573519,14673.631914429205,14707.1375,14729.04895533592,14685.226044664081,14740.004683003881,14674.27031699612,604,766.25,12.555674583676442
2022-02-04T12:35:00-06:00,14721.75,14723.5,14707.75,14713.5,14585.134748735381,14713.865083710094,14711.779728196516,14674.939064775788,14707.7125,14729.65804339865,14685.76695660135,14740.630815097973,14674.794184902026,894,774.1,12.761760094406995
2022-02-04T12:36:00-06:00,14714.75,14717.5,14705.75,14712.5,14585.26612124677,14713.41005580673,14711.91068670624,14676.170570848713,14708.6375,14729.736359563738,14687.538640436263,14740.285789345608,14676.989210654394,600,777.05,12.696485249606544
2022-02-04T12:37:00-06:00,14713,14715.25,14702.25,14705.75,14585.39649720263,14710.856703871154,14710.79056185056,14677.140388197937,14709.5375,14728.414254884425,14690.660745115576,14737.852632326636,14681.222367673365,617,756.1,12.716066846406122
2022-02-04T12:38:00-06:00,14706,14709.5,14692.5,14693.25,14585.559848719762,14704.987802580768,14707.601368786822,14677.668572191447,14709.7375,14727.818204497578,14691.65679550242,14736.858556746367,14682.616443253632,839,764.5,12.992449630508952
